cerb_week_ending_date,canadian_subdivision_code,gender_group_code,unique_applicant_count 
6/28/2020,NL,101,47820
6/28/2020,NL,102,52620
6/28/2020,NL,103,30
6/28/2020,PE,101,14590
6/28/2020,PE,102,14610
6/28/2020,PE,103,30
6/28/2020,NS,101,92920
6/28/2020,NS,102,96370
6/28/2020,NS,103,120
6/28/2020,NB,101,71240
6/28/2020,NB,102,71140
6/28/2020,NB,103,70
6/28/2020,QC,101,828240
6/28/2020,QC,102,1026980
6/28/2020,QC,103,440
6/28/2020,ON,101,1599940
6/28/2020,ON,102,1668630
6/28/2020,ON,103,2240
6/28/2020,MB,101,123530
6/28/2020,MB,102,122780
6/28/2020,MB,103,130
6/28/2020,SK,101,104720
6/28/2020,SK,102,109710
6/28/2020,SK,103,90
6/28/2020,AB,101,484770
6/28/2020,AB,102,496880
6/28/2020,AB,103,380
6/28/2020,BC,101,553850
6/28/2020,BC,102,538500
6/28/2020,BC,103,600
6/28/2020,YT,101,3980
6/28/2020,YT,102,4360
6/28/2020,YT,103,10
6/28/2020,NT,101,4790
6/28/2020,NT,102,5840
6/28/2020,NT,103,10
6/28/2020,NU,101,4210
6/28/2020,NU,102,4590
6/28/2020,NU,103,0
6/28/2020,**,101,1300
6/28/2020,**,102,1980
6/28/2020,**,103,1170
6/28/2020,??,101,40
6/28/2020,??,102,60
6/28/2020,??,103,0
7/5/2020,NL,101,48900
7/5/2020,NL,102,53710
7/5/2020,NL,103,40
7/5/2020,PE,101,14980
7/5/2020,PE,102,14860
7/5/2020,PE,103,40
7/5/2020,NS,101,94950
7/5/2020,NS,102,97510
7/5/2020,NS,103,140
7/5/2020,NB,101,72280
7/5/2020,NB,102,71940
7/5/2020,NB,103,80
7/5/2020,QC,101,840700
7/5/2020,QC,102,1033870
7/5/2020,QC,103,460
7/5/2020,ON,101,1621700
7/5/2020,ON,102,1679170
7/5/2020,ON,103,2360
7/5/2020,MB,101,125670
7/5/2020,MB,102,124210
7/5/2020,MB,103,140
7/5/2020,SK,101,107340
7/5/2020,SK,102,110930
7/5/2020,SK,103,100
7/5/2020,AB,101,491090
7/5/2020,AB,102,500660
7/5/2020,AB,103,420
7/5/2020,BC,101,561760
7/5/2020,BC,102,542620
7/5/2020,BC,103,650
7/5/2020,YT,101,4020
7/5/2020,YT,102,4400
7/5/2020,YT,103,10
7/5/2020,NT,101,4860
7/5/2020,NT,102,5890
7/5/2020,NT,103,10
7/5/2020,NU,101,4260
7/5/2020,NU,102,4640
7/5/2020,NU,103,0
7/5/2020,**,101,1310
7/5/2020,**,102,2010
7/5/2020,**,103,1170
7/5/2020,??,101,40
7/5/2020,??,102,60
7/5/2020,??,103,0
