cerb_week_ending_date,week_to_date_application_count,total_unique_applicant_count,total_application_received_count,total_application_processed_count,total_paid_dollar_value
4/19/2020,2890000,6279000,8675000,8382000,19804000000
4/26/2020,1341000,6682000,9990000,9840000,24250000000
5/5/2020,820000,7199000,11020000,10840000,28570000000
5/10/2020,608000,7332000,11375000,11290000,30482000000
5/19/2020,2827000,7592000,14350000,14310000,38410000000
5/24/2020,627000,7677000,14742000,14715000,40330000000
6/1/2020,458000,7811000,15183000,15173000,42589000000
6/7/2020,374000,7886000,15542000,15546000,44639000000
6/14/2020,2255000,7982000,17784000,17806000,50240000000
6/21/2020,534000,8054000,18309000,18348000,52144000000
6/28/2020,371000,8156000,18671000,18711000,53528000000
7/5/2020,319000,8248000,18982000,19017000,54787000000
7/12/2020,1899000,8341000,20879000,20915000,59412000000
7/19/2020,482000,8400000,21360000,21400000,61260000000
7/26/2020,302000,8460000,21660000,21700000,62750000000
8/2/2020,274000,8510000,21940000,21980000,64260000000
8/9/2020,1779000,8580000,23720000,23760000,68460000000
8/16/2020,447000,8620000,24160000,24200000,70030000000
8/23/2020,268000,8660000,24430000,24470000,71250000000
8/30/2020,248000,8700000,24680000,24720000,72550000000
9/6/2020,1531000,8750000,26210000,26250000,76430000000
9/13/2020,428000,8790000,26640000,26680000,77990000000
9/20/2020,288000,8830000,26930000,26970000,79300000000
9/27/2020,296000,8860000,27220000,27250000,80620000000
10/4/2020,350000,8900000,27570000,27560000,81640000000
