cerb_week_ending_date ,canadian_subdivision_code ,age_group_code ,unique_applicant_count 
6/28/2020,NL,24,17270
6/28/2020,NL,25,20890
6/28/2020,NL,35,18820
6/28/2020,NL,45,19070
6/28/2020,NL,55,18330
6/28/2020,NL,65,6080
6/28/2020,NL,-1,10
6/28/2020,PE,24,6470
6/28/2020,PE,25,6280
6/28/2020,PE,35,4970
6/28/2020,PE,45,4740
6/28/2020,PE,55,4740
6/28/2020,PE,65,2020
6/28/2020,PE,-1,10
6/28/2020,NS,24,35760
6/28/2020,NS,25,44320
6/28/2020,NS,35,34390
6/28/2020,NS,45,31910
6/28/2020,NS,55,31840
6/28/2020,NS,65,11160
6/28/2020,NS,-1,30
6/28/2020,NB,24,25950
6/28/2020,NB,25,30790
6/28/2020,NB,35,27020
6/28/2020,NB,45,26110
6/28/2020,NB,55,25000
6/28/2020,NB,65,7560
6/28/2020,NB,-1,10
6/28/2020,QC,24,341840
6/28/2020,QC,25,404580
6/28/2020,QC,35,359970
6/28/2020,QC,45,318710
6/28/2020,QC,55,319970
6/28/2020,QC,65,110520
6/28/2020,QC,-1,70
6/28/2020,ON,24,620810
6/28/2020,ON,25,772750
6/28/2020,ON,35,617140
6/28/2020,ON,45,570710
6/28/2020,ON,55,514730
6/28/2020,ON,65,174150
6/28/2020,ON,-1,510
6/28/2020,MB,24,50940
6/28/2020,MB,25,61310
6/28/2020,MB,35,49020
6/28/2020,MB,45,39780
6/28/2020,MB,55,33340
6/28/2020,MB,65,12010
6/28/2020,MB,-1,50
6/28/2020,SK,24,42250
6/28/2020,SK,25,55620
6/28/2020,SK,35,44740
6/28/2020,SK,45,32720
6/28/2020,SK,55,28400
6/28/2020,SK,65,10770
6/28/2020,SK,-1,30
6/28/2020,AB,24,175100
6/28/2020,AB,25,243680
6/28/2020,AB,35,218570
6/28/2020,AB,45,164550
6/28/2020,AB,55,134710
6/28/2020,AB,65,45290
6/28/2020,AB,-1,130
6/28/2020,BC,24,199310
6/28/2020,BC,25,265130
6/28/2020,BC,35,213020
6/28/2020,BC,45,183780
6/28/2020,BC,55,169160
6/28/2020,BC,65,62340
6/28/2020,BC,-1,200
6/28/2020,YT,24,1300
6/28/2020,YT,25,2210
6/28/2020,YT,35,1680
6/28/2020,YT,45,1260
6/28/2020,YT,55,1310
6/28/2020,YT,65,580
6/28/2020,YT,-1,0
6/28/2020,NT,24,1820
6/28/2020,NT,25,2760
6/28/2020,NT,35,1990
6/28/2020,NT,45,1780
6/28/2020,NT,55,1560
6/28/2020,NT,65,740
6/28/2020,NT,-1,0
6/28/2020,NU,24,1660
6/28/2020,NU,25,2630
6/28/2020,NU,35,1800
6/28/2020,NU,45,1480
6/28/2020,NU,55,890
6/28/2020,NU,65,330
6/28/2020,NU,-1,0
6/28/2020,**,24,1600
6/28/2020,**,25,1110
6/28/2020,**,35,760
6/28/2020,**,45,520
6/28/2020,**,55,340
6/28/2020,**,65,110
6/28/2020,**,-1,10
6/28/2020,??,24,60
6/28/2020,??,25,30
6/28/2020,??,35,10
6/28/2020,??,45,0
6/28/2020,??,55,0
6/28/2020,??,65,0
6/28/2020,??,-1,0
7/5/2020,NL,24,17410
7/5/2020,NL,25,21300
7/5/2020,NL,35,19230
7/5/2020,NL,45,19560
7/5/2020,NL,55,18840
7/5/2020,NL,65,6290
7/5/2020,NL,-1,10
7/5/2020,PE,24,6520
